PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQUARE FEET,HOA PER MONTH,URL,LATITUDE,LONGITUDE
Single Family Residential,2206 Guess Rd,Durham,NC,27705,390000,3,1,Broad Acres,1088,7405,1948,5,358,,https://www.redfin.com/NC/Durham/2206-Guess-Rd-27705/home/43538548,36.024865,-78.9202507
Single Family Residential,3425 Donnigale Ave,Durham,NC,27705,940000,4,3.5,Brook Hollow,3747,81282,2015,13,251,,https://www.redfin.com/NC/Durham/3425-Donnigale-Ave-27705/home/43547129,35.9767003,-78.9773239
Condo/Co-op,3080 Colony Rd Unit A,Durham,NC,27705,279000,2,2.5,Colony Hill,1350,,1972,19,207,433,https://www.redfin.com/NC/Durham/3080-Colony-Rd-27705/unit-A/home/43545888,35.978602,-78.9622165
Single Family Residential,11 Whitburn Pl,Durham,NC,27705,522000,3,2.5,Colony Hill at Beech Hill,2664,6970,1987,20,196,165,https://www.redfin.com/NC/Durham/11-Whitburn-Pl-27705/home/43546115,35.977192,-78.9611808
Single Family Residential,2205 W Carver St,Durham,NC,27705,400000,3,2,Duke Homestead,1367,9399,1955,1,293,,https://www.redfin.com/NC/Durham/2205-Carver-St-27705/home/43537215,36.038729,-78.91938
Single Family Residential,1604 Pinecrest Rd,Durham,NC,27705,1850000,5,3.5,Duke University Homesites,4602,73616,1972,1,402,,https://www.redfin.com/NC/Durham/1604-Pinecrest-Rd-27705/home/43522876,35.9855828,-78.9468785
Single Family Residential,2205 Tampa Ave,Durham,NC,27705,550000,2,2.5,Not in a Subdivision,1184,2178,2025,3,465,,https://www.redfin.com/NC/Durham/2205-Tampa-Ave-27705/home/195781931,36.0250997,-78.9334647
Single Family Residential,4713 Erwin Rd,Durham,NC,27705,625000,4,3,Not in a Subdivision,2221,31363,1950,6,281,,https://www.redfin.com/NC/Durham/4713-Erwin-Rd-27705/home/43546503,35.9907125,-78.9856864
Single Family Residential,2515 W Club Blvd,Durham,NC,27705,1200000,4,4,Not in a Subdivision,2842,14810,1938,7,422,,https://www.redfin.com/NC/Durham/2515-W-Club-Blvd-27705/home/43520882,36.0175195,-78.9355803
Single Family Residential,902 B Oakland Ave,Durham,NC,27705,639000,3,3,Not in a Subdivision,1264,2504,2023,1,506,,https://www.redfin.com/NC/Durham/902-Oakland-Ave-27705/home/190967859,36.0124102,-78.9289015
Single Family Residential,1314 Hudson Ave,Durham,NC,27705,449000,2,1.5,Not in a Subdivision,1287,10890,1956,14,349,,https://www.redfin.com/NC/Durham/1314-Hudson-Ave-27705/home/43521943,36.0244845,-78.913526
Townhouse,2822 Pickett Rd #173,Durham,NC,27705,400000,2,2.5,Pickett Park,1407,2178,2006,1,284,235,https://www.redfin.com/NC/Durham/2822-Pickett-Rd-27705/unit-173/home/43607888,35.973963,-78.9573183
Single Family Residential,1924 Strebor St,Durham,NC,27705,325000,3,1.5,Pinewood,1750,9148,1983,12,186,,https://www.redfin.com/NC/Durham/1924-Strebor-St-27705/home/43537631,36.0316269,-78.919053
Single Family Residential,4420 Dula St,Durham,NC,27705,775000,4,3.5,Rocky Ridge,3201,21344,1990,7,242,,https://www.redfin.com/NC/Durham/4420-Dula-St-27705/home/43573515,36.0471551,-78.9774
Single Family Residential,2606 Newquay St,Durham,NC,27705,564900,4,3,Sparrow,2708,21344,1971,9,209,,https://www.redfin.com/NC/Durham/2606-Newquay-St-27705/home/43573181,36.0404789,-78.9791421
Townhouse,1508 W Markham Ave,Durham,NC,27705,499500,2,2.5,Trinity Heights,1688,1742,2001,20,296,475,https://www.redfin.com/NC/Durham/1508-W-Markham-Ave-27705/home/43592616,36.0100362,-78.9163274
Single Family Residential,3907 Inwood Dr,Durham,NC,27705,425000,3,2,Turnage Heights,1297,19602,1964,14,328,,https://www.redfin.com/NC/Durham/3907-Inwood-Dr-27705/home/43537093,36.0158094,-78.9603518
Townhouse,11 Providence Ct,Durham,NC,27705,242500,2,1.5,Walden Pond,1055,2178,1983,7,230,88,https://www.redfin.com/NC/Durham/11-Providence-Ct-27705/home/43573342,36.0221247,-78.9602365
Townhouse,10 Grove Park Rd,Durham,NC,27705,235000,2,1.5,Walden Pond,1035,1307,1985,20,227,84,https://www.redfin.com/NC/Durham/10-Grove-Park-Rd-27705/home/43571027,36.0256624,-78.9613973
Single Family Residential,6 Beltre Ct,Durham,NC,27705,809000,5,2.5,Winstead,2933,12632,1997,5,276,14,https://www.redfin.com/NC/Durham/6-Beltre-Ct-27705/home/43548575,35.9857342,-78.9878966
Single Family Residential,2311 Wintergreen Pl,Durham,NC,27707,325000,3,2,Alston Heights,1067,6098,1970,14,305,,https://www.redfin.com/NC/Durham/2311-Wintergreen-Pl-27707/home/43544410,35.9601923,-78.884271
Townhouse,33 Grapevine Trl,Durham,NC,27707,360000,3,2.5,Arbor Pointe,1785,3049,2006,1,202,181,https://www.redfin.com/NC/Durham/33-Grapevine-Trl-27707/home/43605381,35.9479625,-78.9711977
Single Family Residential,3022 Dixon Rd,Durham,NC,27707,375000,3,1,Boone Place,1213,15246,1955,18,309,,https://www.redfin.com/NC/Durham/3022-Dixon-Rd-27707/home/43536566,35.9660596,-78.9402864
Townhouse,127 Manordale Dr,Durham,NC,27707,390000,2,2.5,Chapel Run,1537,1306,2019,1,254,117,https://www.redfin.com/NC/Durham/127-Manordale-Dr-27707/home/147232513,35.9109666,-78.9941938
Townhouse,123 Boarstall Crk,Durham,NC,27707,429000,3,2.5,Creekside Commons,1981,2178,2020,3,217,135,https://www.redfin.com/NC/Durham/123-Boarstall-Crk-27707/home/173318335,35.9298173,-78.9934725
Single Family Residential,17 Crystal Oaks Ct,Durham,NC,27707,287000,2,2,Crystal Oaks,1025,2178,1995,1,280,135,https://www.redfin.com/NC/Durham/17-Crystal-Oaks-Ct-27707/home/43551695,35.9402783,-78.9933341
Townhouse,202 Selkirk Pl,Durham,NC,27707,550000,3,2.5,Dunbarton Townhomes,2629,4792,1982,20,209,410,https://www.redfin.com/NC/Durham/202-Selkirk-St-27707/home/43539288,35.9612047,-78.9279547
Single Family Residential,2509 Chapel Hill Rd,Durham,NC,27707,472400,3,2,Durham,1710,8712,2014,15,276,,https://www.redfin.com/NC/Durham/2509-Chapel-Hill-Rd-27707/home/43522010,35.9815366,-78.9336366
Single Family Residential,2503 Chapel Hill Rd,Durham,NC,27707,365125,3,2,Durham,2375,10018,1925,15,154,,https://www.redfin.com/NC/Durham/2503-Chapel-Hill-Rd-27707/home/43520946,35.9817173,-78.9331363
Single Family Residential,2507 Chapel Hill Rd,Durham,NC,27707,439400,3,1.5,Durham,1780,7405,1920,15,247,,https://www.redfin.com/NC/Durham/2507-Chapel-Hill-Rd-27707/home/43520952,35.9816458,-78.933471
Single Family Residential,2511 Chapel Hill Rd,Durham,NC,27707,344350,3,2,Durham,1510,8276,1920,15,228,,https://www.redfin.com/NC/Durham/2511-Chapel-Hill-Rd-27707/home/43522008,35.9814265,-78.9337226
Single Family Residential,2505 Chapel Hill Rd,Durham,NC,27707,361125,2,1,Durham,1240,8712,1930,15,291,,https://www.redfin.com/NC/Durham/2505-Chapel-Hill-Rd-27707/home/43520953,35.9816939,-78.9332997
Single Family Residential,305 Reynolds Ave N,Durham,NC,27707,414000,3,2,Forest Edge,1580,12197,1986,4,262,,https://www.redfin.com/NC/Durham/305-Reynolds-Ave-27707/home/43545403,35.9542349,-78.9312797
Single Family Residential,800 E Forest Hills Blvd,Durham,NC,27707,699000,3,2,Forest Hills,1641,11230,1948,1,426,,https://www.redfin.com/NC/Durham/800-E-Forest-Hills-Blvd-27707/home/43531480,35.9821738,-78.9093572
Single Family Residential,2904 Sprucewood Dr,Durham,NC,27707,489900,4,2,Forest View Heights,1833,13068,1964,13,267,,https://www.redfin.com/NC/Durham/2904-Sprucewood-Dr-27707/home/43538511,35.9570748,-78.9192106
Single Family Residential,3315 Denada Path,Durham,NC,27707,1200000,3,4.5,Forrest Brook Cluster,4352,8712,2015,19,276,,https://www.redfin.com/NC/Durham/3315-Denada-Path-27707/home/43602852,35.95997,-78.9457488
Single Family Residential,1024 Sycamore St,Durham,NC,27707,749900,5,4,Forrest Hills,4162,14810,1956,18,180,,https://www.redfin.com/NC/Durham/1024-Sycamore-St-27707/home/43529668,35.9785804,-78.9179096
Single Family Residential,1408 South St,Durham,NC,27707,724999,4,3.5,New Hope,2400,7405,2025,14,302,,https://www.redfin.com/NC/Durham/1408-South-St-27707/home/43532604,35.9798648,-78.9072942
Single Family Residential,2003 Wa Wa Ave,Durham,NC,27707,600000,3,2.5,Not in a Subdivision,1618,9583,2020,13,371,,https://www.redfin.com/NC/Durham/2003-Wa-Wa-Ave-27707/home/43520575,35.9793532,-78.9319943
Single Family Residential,3420 Sheridan Dr,Durham,NC,27707,875000,5,3,Not in a Subdivision,3876,40075,1961,13,226,,https://www.redfin.com/NC/Durham/3420-Sheridan-Dr-27707/home/43539629,35.9567015,-78.9363007
Single Family Residential,1005 Forrestal Pl,Durham,NC,27707,635750,4,2.5,Not in a Subdivision,2120,8875,2025,20,300,,https://www.redfin.com/NC/Durham/1005-Forrestel-Pl-27707/home/193446323,35.961123,-78.90071
Single Family Residential,3838 Regent Rd,Durham,NC,27707,1950000,5,3.5,Not in a Subdivision,4062,26571,1967,14,480,,https://www.redfin.com/NC/Durham/3838-Regent-Rd-27707/home/43545776,35.9392667,-78.9617183
Single Family Residential,19 Oak Dr,Durham,NC,27707,1078000,4,3.5,Not in a Subdivision,3304,20909,1926,14,326,,https://www.redfin.com/NC/Durham/19-Oak-Dr-27707/home/43529662,35.979187,-78.9166315
Single Family Residential,425 Price Ave,Durham,NC,27707,355000,2,2,Not in a Subdivision,1314,3920,1930,5,270,,https://www.redfin.com/NC/Durham/425-Price-Ave-27707/home/43532196,35.979615,-78.9004345
Single Family Residential,1010 Cobb St,Durham,NC,27707,545000,3,2,Not in a Subdivision,1393,6098,1925,6,391,,https://www.redfin.com/NC/Durham/1010-Cobb-St-27707/home/43528921,35.9894498,-78.9152702
Single Family Residential,3914 Old Chapel Hill Rd,Durham,NC,27707,665000,3,2.5,Not in a Subdivision,2220,16988,2017,1,300,,https://www.redfin.com/NC/Durham/3914-Old-Chapel-Hill-Rd-27707/home/43545786,35.9526811,-78.9592057
Single Family Residential,3932 Old Chapel Hill Rd,Durham,NC,27707,1050000,6,4.5,Not in a Subdivision,3650,10454,2025,15,288,,https://www.redfin.com/NC/Durham/3932-Old-Chapel-Hill-Rd-27707/home/187972909,35.951635,-78.961556
Single Family Residential,1013 Forrestal Pl,Durham,NC,27707,577030,3,2,Not in a Subdivision,1840,7391,2025,14,314,,https://www.redfin.com/NC/Durham/1013-Forrestel-Pl-27707/home/193446321,35.961036,-78.900984
Single Family Residential,208 Clark Lake Rd,Durham,NC,27707,650000,3,1.5,Not in a Subdivision,1554,53143,1961,30,418,,https://www.redfin.com/NC/Durham/208-Clark-Lake-Rd-27707/home/43549018,35.9411782,-78.9991643
Single Family Residential,1402 W Lakewood Ave,Durham,NC,27707,414900,2,1,Not in a Subdivision,875,6098,1952,20,474,,https://www.redfin.com/NC/Durham/1402-W-Lakewood-Ave-27707/home/43525903,35.9866756,-78.9204765
Single Family Residential,1603 Hermitage Ct,Durham,NC,27707,1549000,4,3,Not in a Subdivision,3403,27007,1930,21,455,,https://www.redfin.com/NC/Durham/1603-Hermitage-Ct-27707/home/43594481,35.9816032,-78.9144082
Single Family Residential,3915 Nottaway Rd,Durham,NC,27707,1575000,5,3.5,Not in a Subdivision,4068,43560,1964,21,387,,https://www.redfin.com/NC/Durham/3915-Nottaway-Rd-27707/home/43548325,35.9385209,-78.9588808
Single Family Residential,3203 Rugby Rd,Durham,NC,27707,2700000,4,4.5,Not in a Subdivision,4443,114998,1991,12,608,,https://www.redfin.com/NC/Durham/3203-Rugby-Rd-27707/home/43545637,35.9402622,-78.9491552
Single Family Residential,2540 Atlantic St,Durham,NC,27707,279900,3,1,Not in a Subdivision,942,8276,1960,6,297,,https://www.redfin.com/NC/Durham/2540-Atlantic-St-27707/home/43529417,35.9687344,-78.904408
Townhouse,1027 S Duke St,Durham,NC,27707,1150000,4,3.5,Orchard Park,3133,2614,2019,21,367,,https://www.redfin.com/NC/Durham/1027-S-Duke-St-27707/home/147233231,35.9872771,-78.9089441
Single Family Residential,4913 Stockton Way,Durham,NC,27707,795000,4,3.5,Prescott Place,3647,10454,2002,6,218,40,https://www.redfin.com/NC/Durham/4913-Stockton-Way-27707/home/43605137,35.9328577,-78.9838574
Townhouse,8 Greenside Ct,Durham,NC,27707,1225000,3,4.5,Surrey Green,3025,13068,1982,21,405,63,https://www.redfin.com/NC/Durham/8-Greenside-Ct-27707/home/43544513,35.943612,-78.939205
Single Family Residential,3125 Stanford Dr,Durham,NC,27707,538000,3,2,University Estates,2071,14810,1966,1,260,,https://www.redfin.com/NC/Durham/3125-Stanford-Dr-27707/home/43538469,35.9651497,-78.9347611
Single Family Residential,3405 Bonaparte Way,Durham,NC,27707,385000,3,1.5,Valley Run,1628,9583,1984,1,236,6,https://www.redfin.com/NC/Durham/3405-Bonaparte-Way-27707/home/43534831,35.9614492,-78.9497985
Townhouse,701 Gatehouse Ln,Durham,NC,27707,250000,2,2,Westgate Townes,1062,1306,1989,20,235,185,https://www.redfin.com/NC/Durham/701-Gatehouse-Ln-27707/home/43548385,35.9622718,-78.9632207
Townhouse,55 Willow Bridge Dr,Durham,NC,27707,285000,3,2.5,Willow Bridge Villas,1440,1742,1981,7,198,178,https://www.redfin.com/NC/Durham/55-Willow-Bridge-Dr-27707/home/43547612,35.935818,-78.944446
Townhouse,110 Tressel Way,Durham,NC,27707,460000,2,2.5,Windsor Commons,1771,1307,2007,20,260,275,https://www.redfin.com/NC/Durham/110-Tressel-Way-27707/home/43607569,35.9549614,-78.957405
Single Family Residential,11 Smoketree Ct,Durham,NC,27712,620000,6,3,Autumn Ridge,3226,15681,2001,13,192,15,https://www.redfin.com/NC/Durham/11-Smoketree-Ct-27712/home/43587012,36.0860487,-78.9377998
Single Family Residential,1522 Goodwin Rd,Durham,NC,27712,389000,3,2,Chutney,1666,19602,1973,7,233,,https://www.redfin.com/NC/Durham/1522-Goodwin-Rd-27712/home/43581707,36.0877471,-78.8780266
Single Family Residential,1909 Redding Ln,Durham,NC,27712,525000,5,2.5,Grandover,2832,16988,2000,14,185,20,https://www.redfin.com/NC/Durham/1909-Redding-Ln-27712/home/43588244,36.0822218,-78.9453308
Single Family Residential,5021 Lansdowne Dr,Durham,NC,27712,485000,4,2.5,Havenhill,2380,20038,1981,8,204,,https://www.redfin.com/NC/Durham/5021-Lansdowne-Dr-27712/home/43576241,36.0775764,-78.9541297
Ranch,401 Crestview Dr Dr,Durham,NC,27712,339900,3,2,Hickory Ridge,1301,20037,1964,16,261,,https://www.redfin.com/NC/Durham/401-Crestview-Dr-27712/home/43578115,36.085561,-78.9020688
Single Family Residential,601 Crestview Dr,Durham,NC,27712,264900,3,2,Hickory Ridge,1626,19602,1970,7,163,,https://www.redfin.com/NC/Durham/601-Crestview-Dr-27712/home/43578546,36.0880716,-78.902109
Single Family Residential,5652 Laurel Crest Dr,Durham,NC,27712,300000,3,1.5,Laurel Crest,1197,19166,1968,3,251,,https://www.redfin.com/NC/Durham/5652-Laurel-Crest-Dr-27712/home/43579074,36.0964592,-78.9044425
Single Family Residential,908 Snow Hill Rd,Durham,NC,27712,374000,3,2,Northwood Forest,1455,24829,1977,20,257,,https://www.redfin.com/NC/Durham/908-Snow-Hill-Rd-27712/home/43579927,36.1068945,-78.8897747
Single Family Residential,108 Jefferson Dr,Durham,NC,27712,350000,3,1.5,Not in a Subdivision,1125,22216,1964,12,311,,https://www.redfin.com/NC/Durham/108-Jefferson-Dr-27712/home/43571834,36.0473094,-78.9680872
Single Family Residential,149 Baldwin Dr,Durham,NC,27712,435000,3,2,Not in a Subdivision,1761,21344,1969,20,247,,https://www.redfin.com/NC/Durham/149-Baldwin-Dr-27712/home/43571877,36.0547371,-78.9696001
Single Family Residential,2600 Snow Hill Rd,Durham,NC,27712,1034000,4,4,Not in a Subdivision,3515,506165,1986,6,294,,https://www.redfin.com/NC/Durham/2600-Snow-Hill-Rd-27712/home/43578334,36.0913773,-78.8692711
Single Family Residential,5825 Scalybark Rd,Durham,NC,27712,409900,3,2,Scalybark Hills,1740,44866,1974,13,236,,https://www.redfin.com/NC/Durham/5825-Scalybark-Rd-27712/home/43580167,36.1025441,-78.933987
Single Family Residential,1605 Sassafras St,Durham,NC,27712,549900,5,4.5,Snow Hill Plantation,2890,16117,2016,14,190,25,https://www.redfin.com/NC/Durham/1605-Sassafras-Hill-St-27712/home/43595783,36.1040633,-78.8742021
Single Family Residential,1112 Prominence Dr,Durham,NC,27712,729000,4,3.5,The View at Highland Park,2866,21344,2025,6,254,95,https://www.redfin.com/NC/Durham/1112-Prominence-Dr-27712/home/193444554,36.1014981,-78.9402971
Single Family Residential,101 Abbotsford Ct,Durham,NC,27712,1175000,5,4.5,Treyburn,5618,42253,1990,20,209,51,https://www.redfin.com/NC/Durham/101-Abbotsford-Ct-27712/home/43584487,36.1268518,-78.8663148
Single Family Residential,304 Villa Dr,Durham,NC,27712,892500,5,4,Treyburn,3841,29620,2015,9,232,51,https://www.redfin.com/NC/Durham/304-Villa-Dr-27712/home/43585288,36.1215803,-78.8636928
Single Family Residential,202 Brook Ln,Durham,NC,27712,515000,4,2.5,Willowhaven,2106,20038,1969,19,245,,https://www.redfin.com/NC/Durham/202-Brook-Ln-27712/home/43576280,36.0799088,-78.9563495
Townhouse,1437 Newpoint Dr,Durham,NC,27713,449500,3,2.5,751 South,1962,1742,2022,4,229,140,https://www.redfin.com/NC/Durham/1437-Newpoint-Dr-27713/home/182392840,35.874781,-78.955671
Townhouse,1202 Bradburn Dr,Durham,NC,27713,434475,3,3,751 South,1917,1306,2025,1,227,250,https://www.redfin.com/NC/Durham/1202-Bradburn-Dr-27713/home/195803851,35.8797595,-78.9565102
Townhouse,2201 Pitchfork Ln,Durham,NC,27713,467985,4,4,751 South,2237,13068,2025,1,209,250,https://www.redfin.com/NC/Durham/2201-Pitchfork-LN-27713/home/195803828,35.879913,-78.953893
Single Family Residential,3713 Phillips Way W,Durham,NC,27713,335000,3,2.5,Abercromby,1489,5662,1995,6,225,59,https://www.redfin.com/NC/Durham/3713-Phillips-Way-W-27713/home/43560770,35.9309001,-78.8961452
Single Family Residential,106 Shady Point Ct,Durham,NC,27713,500000,3,2.5,Ashley Forest,2481,9147,1987,9,202,40,https://www.redfin.com/NC/Durham/106-Shady-Point-Ct-27703/home/43594477,35.9274338,-78.8201467
Single Family Residential,1408 Fairmont St,Durham,NC,27713,495000,3,2.5,Auburn,1996,4792,2005,10,248,44,https://www.redfin.com/NC/Durham/1408-Fairmont-St-27713/home/43599760,35.9111198,-78.9077173
Townhouse,1204 Maroon Dr,Durham,NC,27713,330000,3,2.5,Auburn Square,1437,1306,2002,20,230,239,https://www.redfin.com/NC/Durham/1204-Maroon-Dr-27713/home/43600173,35.9145541,-78.9160709
Single Family Residential,5416 Whisperwood Dr,Durham,NC,27713,499999,4,2.5,Audubon Park,2206,9148,2002,6,227,41,https://www.redfin.com/NC/Durham/5416-Whisperwood-Dr-27713/home/43592656,35.8834622,-78.9024229
Single Family Residential,33 Juliette Dr,Durham,NC,27713,482300,3,2,Belcrest,1837,6970,2012,6,263,175,https://www.redfin.com/NC/Durham/33-Juliette-Dr-27713/home/43611204,35.9312323,-78.9165142
Condo/Co-op,600 Audubon Lake Dr Unit 6b13,Durham,NC,27713,178500,1,1,Brandon Ridge Spring Hill,705,,1986,6,253,182,https://www.redfin.com/NC/Durham/600-Audubon-Lake-Dr-27713/unit-6B13/home/43574672,35.9109938,-78.9474104
Townhouse,6612 Rossford Ln,Durham,NC,27713,355000,3,2.5,Cambridge at Wyndcross,1584,1742,2000,7,224,243,https://www.redfin.com/NC/Durham/6612-Rossford-Ln-27713/home/43587659,35.9058025,-78.9327101
Single Family Residential,302 Kinney Glenn Ct,Durham,NC,27713,699000,3,2.5,Chamberlynne,2561,8712,2015,7,273,58,https://www.redfin.com/NC/Durham/302-Kinney-Glenn-Ct-27713/home/102189330,35.9342033,-78.9325593
Single Family Residential,112 Victorian Oaks Dr,Durham,NC,27713,700000,5,4,Chamberlynne,2947,9147,2011,8,238,58,https://www.redfin.com/NC/Durham/112-Victorian-Oaks-Dr-27713/home/43613106,35.9354907,-78.924338
Single Family Residential,215 Graduate Ct,Durham,NC,27713,719900,4,2.5,Chancellors Ridge,2462,21344,1999,13,292,44,https://www.redfin.com/NC/Durham/215-Graduate-Ct-27713/home/43586947,35.8865506,-78.9547922
Single Family Residential,1039 Bellenden Dr,Durham,NC,27713,650000,5,3,Chelsea Meadows,3090,7840,2006,1,210,43,https://www.redfin.com/NC/Durham/1039-Bellenden-Dr-27713/home/43596724,35.8946708,-78.9433422
Single Family Residential,1028 Bellenden Dr,Durham,NC,27713,650000,3,2.5,Chelsea Meadows,2900,6970,2006,6,224,43,https://www.redfin.com/NC/Durham/1028-Bellenden-Dr-27713/home/43608330,35.8939556,-78.9430972
